nýtsluland;1993 Alt árið;1994 Alt árið;1995 Alt árið;1996 Alt árið;1997 Alt árið;1998 Alt árið;1999 Alt árið;2000 Alt árið;2001 Alt árið;2002 Alt árið;2003 Alt árið;2004 Alt árið;2005 Alt árið;2006 Alt árið;2007 Alt árið;2008 Alt árið;2009 Alt árið;2010 Alt árið;2011 Alt árið;2012 Alt árið;2013 Alt árið;2014 Alt árið;2015 Alt árið;2016 Alt árið;2017 Alt árið;2018 Alt árið;2019 Alt árið;2020 Alt árið;2021 Alt árið;2022 Alt árið
Kuvait;0.0;0.0;0.0;0.0;0.0;1222.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.3;277.1;422.5;2716.6;138.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kýpros;6902.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.8;0.0;0.0;0.0;441.7;246.4;681.7;87424.8;1508.2;4913.1;5507.2;7287.0;607.4;0.0;0.0;118.1;0.0;1847.0;848.2;1730.2;3273.1;7222.6
Lettland;0.0;0.0;0.0;2463.7;6784.8;0.0;0.0;16710.9;8.0;0.0;108.0;149.3;446.0;18182.8;1293.0;1415.7;2187.7;1708.8;2273.2;1091.3;78.2;141.6;220.4;306.5;2405.9;9191.1;12489.2;14463.5;2229.6;36129.5
Libanon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.8;2562.7;2695.5;0.0;2252.0;1320.7;2154.9;1288.0;140.5;0.0;659.9
Liberia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1637.8;0.0;0.0;0.0;647.2;761.4;1503.4;0.0;0.0;0.0;0.0;0.0;781.8;542.1;67.5;2207.4;2060.8
Litava;0.0;0.0;0.0;8928.5;26419.6;907.6;225.0;3886.7;6805.9;3284.8;1332.8;14466.2;36062.0;23614.8;8240.3;11678.5;20954.4;34576.2;63683.2;97383.0;28896.1;62896.4;72153.3;65233.5;58777.9;56666.4;68771.9;70147.6;74065.5;119002.5
Luksemborg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;243.7;384.0;1515.6;1310.9;1651.2;249.0;620.3;831.5;1040.6;3628.7;1298.1;2484.9;1525.9;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Malaisia;0.0;1233.7;2697.3;4064.6;0.0;0.0;17.3;0.0;0.0;0.0;0.0;16.4;28.4;294.5;0.0;0.0;534.1;8620.5;1068.8;0.0;0.0;0.0;219.3;314.5;271.3;0.0;0.0;146.1;771.0;367.0
Malta;8678.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.5;5.3;0.0;511.6;0.0;1841.3;10.6;4743.5;102.6;0.0;0.0;0.0;3343.3;2229.8;4345.1;177.7;5113.8
Marokko;0.0;0.0;0.0;0.0;2466.7;2037.8;0.0;0.0;0.0;0.0;0.0;138.6;0.0;0.0;0.0;467.9;0.0;0.0;489.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Marshalloyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1186.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;613.8
Meksiko;0.0;0.0;0.0;0.0;0.0;0.0;1732.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Miðafrikalýðveldið;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Moldova;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.0;0.0;0.0;0.0;0.0;0.0;0.0;701.1;842.0;462.2;2859.4;0.0;0.0;1561.6;4360.4;0.0;0.0;0.0;0.0;4.1;0.0;0.0;1033.7
Mosambik;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;308.8;51.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Móritius;0.0;0.0;0.0;0.0;1160.5;1787.8;630.3;4303.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.8;0.0;83.4;1029.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Namibia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9000.0;9500.0;1007.2;0.0;0.0;0.0;0.0;0.0;0.0;12000.0;0.0;0.0;0.0;0.0;29.2;23.0;0.0;0.0;0.0;0.0;0.0;0.0;9.5
Nepal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Niðurlond;55281.3;42466.9;34057.8;50252.5;52790.3;45833.7;42522.6;35806.9;33861.5;47275.9;24000.9;28211.2;28316.5;39832.6;50280.8;42430.9;49332.0;109443.8;356798.5;403072.3;296506.5;337521.5;266990.2;280540.4;416933.9;188515.5;350728.3;297824.1;400699.8;691025.1
Niger;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2566.1;0.0;0.0;0.0;0.0;649.5;0.0;0.0;0.0;709.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;357.9;0.0
Nigeria;0.0;0.0;0.0;0.0;0.0;1415.7;3397.4;0.0;4129.8;24163.0;26099.9;45155.8;41004.2;44758.2;158611.8;101338.4;166580.8;351871.1;516105.0;479439.5;452258.7;423088.5;346353.5;76751.0;95141.2;132005.4;151351.3;195602.1;198094.8;349986.9
Nikaragua;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;502.9;0.0;82.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20305.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Norðaru Marianaoyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;264.2;0.0;0.0;81.1;0.0;0.0;0.0;0.0;0.0
Norðurkorea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;730.5;0.0;0.0;761.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;266.0;0.0;3315.7;0.0;0.0;0.0;0.0;0.0
Noreg;35241.9;61654.7;126499.5;176807.6;140742.3;103478.0;80252.9;156422.2;366219.0;300099.8;201045.0;295848.9;211014.0;456298.0;552778.7;674152.0;358437.5;285316.9;211925.8;242566.8;230821.5;253187.1;351440.7;460719.4;466388.3;379721.7;456196.0;307400.3;238271.2;354946.7
Nýsæland;0.0;18500.0;0.0;0.0;3.2;3.4;0.0;0.0;0.0;0.0;6.7;0.0;0.0;0.0;0.0;97.8;8510.0;0.0;5.8;33.6;0.0;0.0;0.0;0.0;1354.2;0.0;1634.5;0.0;0.0;0.7
Oman;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7;279.8;0.0;316.2;79.3;184.1;3.1;0.0;0.0;0.0;0.0;0.0;0.0
Panama;4685.1;8004.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;670.4;1204.6;65.6;1180.0;1322.1;997.1;10707.2;2010.8;43029.2;2573.3;71.2;825.3;671.7;0.0;359.2;311.1;0.0;189.1
Papua Nýguinea;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;555.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Peru;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1388.3;121244.5;0.0;79486.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Portugal;5522.6;7927.3;18467.8;27489.7;17697.7;6907.5;3292.9;549.5;2429.1;9146.4;3071.9;1466.9;4636.5;2890.0;4924.6;6433.1;9916.3;10873.0;13321.0;13771.2;15756.1;32116.9;45818.0;37567.4;44825.9;71295.3;153596.4;134213.5;96150.4;94128.2
Pólland;0.6;0.0;0.0;10.3;15341.9;0.0;0.0;11639.9;993.5;24044.8;9527.6;36774.7;95235.2;29431.5;45928.8;40370.3;104742.7;110236.0;151166.3;291662.7;225679.4;202392.4;198455.0;250623.1;252685.0;270404.9;254460.8;208931.3;253036.0;301967.8
Rumenia;0.0;0.0;0.0;0.0;3007.7;182.9;0.0;471.5;0.0;0.0;0.0;0.0;0.0;25.7;3192.2;1299.1;387.4;2005.2;2516.1;9593.6;14381.8;3177.4;1756.4;11368.1;17194.5;31548.8;9345.5;9152.7;19459.6;45449.1
Russland;5919.1;2695.7;3750.1;12732.6;11349.7;6586.6;27328.2;16844.4;3997.4;27991.2;38882.4;23674.3;131531.7;115396.3;126811.0;109537.3;163935.5;150803.6;427893.4;474067.6;722062.6;1087538.0;1812286.1;1954197.1;2561023.6;2191590.2;2230693.9;1924704.0;2332632.5;1014059.8
Sambandsríki Amerika (USA);53144.9;59578.2;40598.6;51041.3;94717.7;113138.7;235658.8;300076.1;120901.1;115661.6;84578.1;42562.5;33925.0;25497.2;39470.2;66475.6;306227.4;353824.4;498363.6;365457.0;642705.4;659657.7;601935.4;898481.9;778959.4;705302.6;966170.1;718560.9;1064077.9;1652250.2
Sameindu Emirríkini;0.0;625.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.9;0.0;0.0;8481.9;1138.6;13270.5;37889.4;24682.6;38969.7;19699.7;36814.3;51005.9;65404.6;35220.4;18334.0;74029.1
Samoa;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;516.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
San Marino;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1941.9;4612.6;4152.5;1141.3;1178.0;0.0;0.0;0.0;20.1;2.9;2430.4;3772.9;4321.6
Saudiarabia;0.0;0.0;14.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.7;4.0;0.0;0.0;0.0;0.0;264.5;0.0;0.0;179.4;686.1;0.0;0.0;0.0;0.0;953.7;200.9;0.0;0.0;0.0
Seyskelloyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.5;0.0;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sierra Leona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;953.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Singapor;140.1;467.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;668.4;0.0;0.0;0.0;0.0;0.0;0.0;2601.4;3804.5;18143.1;36093.6;20087.4;4986.6;4591.9;435.0;1623.8;735.1;2719.0;4822.6
Slovakia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2123.4;343.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;72.0;0.0;1836.1;1982.9;2562.0;4378.0;2437.1;2176.7
Slovenia;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;190.0;0.0;98.5;58.1;29.8;0.0;2341.7;0.0;9566.5;5054.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;962.4;1255.6;794.4;690.9
Sovjetsamveldið;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Spania;113645.6;95112.2;97751.5;139825.5;141271.3;179532.3;232003.6;326982.2;503513.4;477963.0;467454.1;369375.4;348744.7;314935.3;344277.3;326658.9;176118.8;204440.1;257612.1;186211.8;218996.5;179190.9;197603.1;183511.4;227458.2;255605.9;498612.4;519160.0;745981.4;933571.0
St. Kitts & Nevis;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7008.8;242.5;0.0;0.0;0.0;228.0;428.8;0.0;0.0;0.0
St. Vinsent & Grenadinoyggjar;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;571.1;338.4;3350.0;0.0;0.0;529.5;0.0;169.2;0.0;0.0;0.0;0.0;5553.9;66.9;0.0;0.0;0.0
Suðurafrika;5000.0;0.0;3061.5;0.0;473.4;21078.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19550.0;2610.9;487.5;2718.0;9308.2;8641.1;4314.7;210.3;3356.1;0.0;370.4;0.0;1.4;0.0;0.0
Suðurkorea;0.0;0.0;163.2;0.0;1426.7;0.0;0.0;617.5;4138.1;0.0;843.9;767.8;568.6;330.6;5048.0;2177.4;0.0;0.0;0.0;0.0;0.0;1139.4;1196.5;318.2;29.4;691.4;0.8;6.3;6481.4;1881.2
Svasiland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sveis-Liktinstein;31468.0;19186.6;12616.9;6781.0;2788.8;3618.8;3604.6;4354.1;11191.0;8074.8;6393.8;6255.8;3508.5;23182.9;31499.9;10750.3;3040.4;5518.1;2980.8;4898.9;5752.6;6657.2;12372.1;20480.9;21891.7;23678.5;17314.1;43809.3;43654.5;53161.0
Svøríki;25480.1;61499.9;52811.5;12290.6;16845.0;16079.4;33089.8;55097.8;45319.8;55570.4;45355.1;46676.8;24822.2;27119.9;31101.5;28071.6;37158.0;42713.6;41664.5;93468.5;126368.8;114264.6;61713.3;68883.0;74624.0;56867.5;56108.8;62858.9;45484.7;70622.1
Tailand;0.0;0.0;59.6;24050.3;17716.3;2102.1;1972.1;0.0;679.9;7881.1;5278.8;3325.2;7235.5;1514.5;7236.6;19834.2;11329.8;8717.8;1803.2;2299.7;541.7;185.3;722.7;405.0;753.7;0.0;0.0;0.0;5504.2;6761.1
Taivan;12050.1;2085.5;1654.5;19551.4;15407.1;3326.6;1623.6;0.0;1397.9;490.1;9059.0;3040.7;673.8;463.9;3338.5;13712.5;53523.6;18702.0;20174.3;56765.5;89272.6;16238.9;12454.0;18744.6;56862.4;6670.7;34902.0;16079.0;10606.4;14006.1
Tansania;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;294.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Togo;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;613.0;0.0;0.0;566.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.2;5579.9;594.0;1615.4;10825.3
Turkaland;0.0;0.0;0.0;1297.2;0.0;732.8;0.0;82.9;0.0;0.0;0.0;184.2;0.0;3100.0;55.9;0.0;0.0;0.0;527.6;591.2;0.0;0.0;211.0;9.6;1245.1;549.6;3129.3;6381.6;4703.9;33897.6
Turkmenistan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;619.5;0.0;0.0;0.0
Turks og Caicosoyggjar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3000.0;0.0;0.0;695.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;425.8;0.0
Týskland;295384.4;236660.4;196294.4;211899.9;220349.0;320449.5;236650.9;285257.7;324023.5;284983.3;230244.8;191673.9;183016.7;223400.6;214425.3;268042.3;352396.9;530672.4;455118.2;385080.9;541154.1;639728.9;380367.7;521609.3;745967.3;209092.8;258878.4;275517.5;155889.2;384936.3
Uganda;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ukraina;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;782.0;1829.1;2309.1;8750.1;25138.8;17292.1;6379.5;25931.4;35630.3;17987.3;10804.6;5322.0;47767.5;19374.5;8190.2;4594.2;13675.1;40850.7;44908.8;85952.7;104588.3;99414.5
Ungarn;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.0;0.0;55.9;0.0;0.0;0.0;0.0;36.5;0.0;1325.5;0.0;0.0;0.1;0.0;0.0;297.1;0.0;662.4;1350.2
Uruguai;0.0;0.0;0.0;0.0;117.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;289.8;318.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Usbekistan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;299.4;1792.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vanuatu;0.0;0.0;0.0;20600.0;3000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vatikanbýur;0.0;0.0;0.0;960.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.6;0.0;479.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;296.5;0.0;0.0
Virginoyggjar (Bretland);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;396.0;926.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vjetnam;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.1;772.5;2658.0;2557.0;2781.8;14435.7;10848.0;14872.6;37915.3;63217.5;84219.0;84386.6;84335.3;29688.3;26282.1;32696.6;26331.7;71151.7